module,business_capability,description,operation_count,methods,priority,sample_endpoints
01. 基础安全机制,授權與令牌,所有對接的前置能力，用於取得與更新 token。,2,POST:2,必做,POST /api/v1/auth/login - 根据注册的APPID获取访问令牌（Token）; POST /api/v1/auth/refresh - 在访问令牌（Token）过期之前，使用临时ticket更新令牌，可避免secret泄漏
02. 基础运营数据,組織與基礎主檔,診所、部門、員工、角色、渠道與字典等初始同步資料。,28,"GET:16, POST:7, PUT:4, DELETE:1",高,GET /api/v1/foundation/channel - 获取授权机构下的客户渠道信息; POST /api/v1/foundation/channel - 在指定层级下创建渠道新节点; PUT /api/v1/foundation/channel/partial/{type}/{id} - 部分修改指定渠道节点; DELETE /api/v1/foundation/channel/{type}/{id} - 删除指定层级的指定渠道节点; PUT /api/v1/foundation/channel/{type}/{id}/active - 改变指定渠道节点(不包含分类)启用状态
03. 产品类目数据,產品、服務與物料主檔,產品分類、服務項目、物料、價格與相關配置。,31,"GET:10, POST:15, PUT:5, DELETE:1",高,POST /api/v1/catalog/category - 指定类型下创建分类新节点 - 各类型通用; GET /api/v1/catalog/category/goods/tree - 获取授权机构下的物料类数据分类(树状结构); GET /api/v1/catalog/category/service/tree - 获取授权机构下的服务类项目分类(树状结构); GET /api/v1/catalog/category/{id} - 获取指定ID分类节点 - 各类型通用; PUT /api/v1/catalog/category/{id} - 修改指定ID分类节点 - 各类型通用
04. 诊疗服务流程,預約與診療流程,預約、排班、到診、諮詢與診療執行流程。,23,"GET:10, POST:9, PUT:4",中高,GET /api/v1/workflow/appointment - 获取授权机构下的预约数据 - 列表; POST /api/v1/workflow/appointment - 创建预约; POST /api/v1/workflow/appointment/getAppointmentFreeList - 获取预约空闲时间段; GET /api/v1/workflow/appointment/{id} - 获取授权机构下的预约数据 - 单个; PUT /api/v1/workflow/appointment/{id}/cancel - 取消预约
05. 客户关系管理,客戶與會員資料,客戶、標籤、優惠券、積分與社群帳號等。,25,"GET:14, POST:6, PUT:3, DELETE:2",高,GET /api/v1/crm/customer - 获取授权机构下的客户数据; POST /api/v1/crm/customer - 在授权机构下创建新客户; GET /api/v1/crm/customer/findByMobile - 根据手机号码查询客户数据; POST /api/v1/crm/customer/getOperatorLog - 查询客户修改日志; POST /api/v1/crm/customer/gift/add - 增值金调整
06. 销售财务数据,訂單、權益與財務,訂單、收款、退款、業績與財務報表。,52,"GET:26, POST:22, PUT:3, DELETE:1",高,POST /api/v1/account-item/balance/refund - 储值金退款; GET /api/v1/account-item/card/detail - 查询权益 - 按ID查询卡项权益详情; GET /api/v1/account-item/card/page - 查询权益 - 按客户ID查询可用卡项; POST /api/v1/account-item/card/redeem - 卡项确认品项; POST /api/v1/account-item/card/redeem-revoke - 卡项作废确认品项
07. 市场营销集成,市場與活動,行銷活動與促銷整合能力。,8,"GET:7, POST:1",中,GET /api/v1/market/card - 查询授权机构下的卡项信息; GET /api/v1/market/card/prompt - 根据条件查询可用卡项信息; GET /api/v1/market/card/{id} - 精确获取授权机构下的卡项信息; GET /api/v1/market/coupon - 获取授权机构下的优惠券信息; GET /api/v1/market/coupon/{id} - 精确获取授权机构下的优惠券信息
08. 库存物料集成,庫存與供應鏈,庫房、供應商、入庫、出庫與調撥。,15,"GET:9, POST:3, DELETE:3",中高,"GET /api/v1/inventory/change-type/{bizType} - 获取授权机构下出/入库类别，bizType参数: stock-in(入库), stock-out(出库); GET /api/v1/inventory/outbound/all - 获取提货单信息 - 翻页; GET /api/v1/inventory/purchaseOrder - 物资采购订单; GET /api/v1/inventory/stock-item - 获取授权机构下的所有库存条目信息; GET /api/v1/inventory/stock-item/stock-in - 物料入库记录"
10. 业务事件订阅,事件訂閱與 Webhook,平台在業務變更時主動推送事件，也可查詢歷史事件做補償。,6,"GET:4, POST:2",必做,GET /api/v1/event/event-history - 获取历史事件分页列表; GET /api/v1/event/event-history/single-entity - 获取特定业务实体对应的历史事件列表; GET /api/v1/event/subscribe - 获取当前订阅列表; POST /api/v1/event/subscribe - 订阅系统业务事件主题，结果返回当前订阅; GET /api/v1/event/topic - 获取当前系统支持的事件主题
11. 电子健康档案,電子健康檔案,診療計畫、處方、醫囑與病歷等敏感資料。,8,"GET:7, POST:1",視場景,POST /api/v1/ehr/care-plan - 在授权机构下的创建患者诊疗计划; GET /api/v1/ehr/prescription - 获取授权机构下的处方数据; GET /api/v1/ehr/prescriptionNew - 获取授权机构下的新版本医嘱服务的处方数据; GET /api/v1/ehr/queryAdvicesOrderList - 获取授权机构下医嘱服务的医嘱数据; GET /api/v1/ehr/queryAdvicesOrderListByPatientId - 获取授权机构下客户的医嘱服务的医嘱数据
12. 云晰系统集成,雲晰系統集成,雲晰訂單、核銷與退款等定制流程。,3,POST:3,視場景,POST /api/v1/integration/yunxi/create-order - 多品项开单，按品项拆分多个订单，成功后为已支付订单，忽略所有审批流程; POST /api/v1/integration/yunxi/fulfillment - 单订单（单品项）核销状态同步; POST /api/v1/integration/yunxi/refund - 单订单（单品项）全部或部分退款
X1. 业务报表数据,業務報表,銷售業績、執行業績與往來帳報表。,3,GET:3,中,GET /api/v1/analytic/cash/performance/page - 查询员工销售业绩数据; GET /api/v1/analytic/execution/performance/page - 查询员工执行业绩数据; GET /api/v1/analytic/financial/accountDealing/page - 查询往来账数据
X2. SCRM集成服务,SCRM 與微信粉絲,SCRM 代理、微信粉絲查詢與綁定。,3,"GET:1, POST:2",視場景,POST /api/v1/scrm/proxy - scrm服务代理; GET /api/v1/scrm/wechat-fan - 查询授权机构下的微信公众号粉丝; POST /api/v1/scrm/wechat-fan/bind - 在授权机构下绑定微信公众号粉丝
